Timestamp,What is your age? ,  What is your current occupational status?  ," How often do you use text-based AI tools (like ChatGPT, Claude, Gemini)?  ",Mental Effort [Text Chat]: I had to work hard (mentally) to formulate my request and find the needed information.,"Frustration Level [Text Chat]: I felt stressed, irritated, or confused while interacting with this interface.","Visual Clarity [Text Chat]: The search results were presented clearly, and I didn't have to struggle to extract the specific numbers or facts from the text",Time Taken [Text Chat]: Please enter the exact time you spent completing the task using the standard text AI,Mental Effort [Generative UI]: I had to work hard (mentally) to formulate my request and find the needed information,"Frustration Level [Generative UI]: I felt stressed, irritated, or confused while interacting with this interface","Visual Clarity [Generative UI]: The search results were presented clearly, and I didn't have to struggle to extract the specific numbers or facts from the text",Time Taken [Generative UI]: Please enter the exact time you spent completing the task using the AyaAI Prototype,Which interface did you find more intuitive and efficient for solving this task?,Why did you choose this variant? Please briefly explain your choice.
01.07.2026 18:45:22,Under 18,Other,Every day,Agree,Neutral,Disagree,2:18,Strongly Disagree,Disagree,Agree,44 sec,Generative UI with interactive widgets,"My eng is not perfect, so clicking buttons is easier "
01.07.2026 19:16:10,18-22,Bachelor's Student,A few times a week,Agree,Agree,Strongly Agree,3 min,Neutral,Disagree,Disagree,1 min,Generative UI with interactive widgets,Just better tbh
01.07.2026 20:18:45,18-22,School Student,Every day,Neutral,Neutral,Neutral,2 min 13,Strongly Disagree,Strongly Disagree,Strongly Agree,I forget srry but I feel like 45 sec,Generative UI with interactive widgets,cause I didnt have tthink
01.07.2026 21:19:30,Over 27,Employed,Almost never,Strongly Agree,Strongly Agree,Neutral,4+ minutes.,Disagree,Disagree,Strongly Agree,2 minutes. ,Generative UI with interactive widgets,"Variant B tailored the search perfectly. In A, the bot started giving me random online courses despite my prompt. Maybe I wrote something wrong because I am not young anymore "
01.07.2026 21:55:04,18-22,Bachelor's Student,A few times a week,Disagree,Disagree,Agree,"1,5m",Disagree,Strongly Disagree,Agree,30s,Generative UI with interactive widgets,im too lazy to type out long paragraphs lmao
01.07.2026 22:35:12,Under 18,School Student,Every day,Strongly Agree,Strongly Agree,Strongly Agree,"2,11",Neutral,Neutral,Agree,45,Generative UI with interactive widgets,The UI constraints actually help guide the user journey. Excellent UX💗 I am proud of you!!!
01.07.2026 23:10:08,23-27,Employed,Every day,Agree,Agree,Strongly Disagree,2:47,Strongly Disagree,Strongly Disagree,Strongly Agree,1 minute ,Generative UI with interactive widgets,ChatGPT gave me a huge essay and I couldn't find the tuition fee. Variant B showed it instantly
02.07.2026 09:42:33,Under 18,School Student,Rarely,Strongly Disagree,Strongly Disagree,Strongly Agree,2:33,Agree,Agree,Disagree,2m,Standard Text Chat,Variant A. I'm just used to ChatGPT and I like talking to the AI
02.07.2026 10:05:14,Under 18,School Student,Every day,Neutral,Neutral,Neutral,"1,5mi",Neutral,Neutral,Neutral,30s,Generative UI with interactive widgets, i hate writing prompts. variant b did it all SHES WHOLE DIFF ANIMAL
02.07.2026 11:12:49,Under 18,School Student,A few times a week,Strongly Disagree,Strongly Disagree,Strongly Agree,5min 🤮 my phone is rlly old,Strongly Agree,Strongly Agree,Strongly Agree,1:55 min (my phone was lagging omg,Generative UI with interactive widgets, I was getting so annoyed with the first task. The second one was a breeze
